"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",8.36635212988216,1.74264451768929,4.80095168289157,2.01121212025635e-06
"schoolMS",-1.12642948452352,0.237186546466603,-4.749128908465,2.5766800884646e-06
"sexM",-0.614793836601253,0.217266434921006,-2.82967701304061,0.00482053413922263
"age",0.118690198944889,0.0893838088880498,1.3278713496484,0.18474204876322
"addressU",0.321709991768173,0.227863282357247,1.41185533904401,0.15852789440307
"famsizeLE3",0.303417707422686,0.212418127269482,1.42839837316595,0.153714567792103
"PstatusT",0.258483589819005,0.303828958192092,0.850753632428883,0.395256698896292
"Medu.L",0.446584340013218,0.686776640358329,0.650261400533674,0.515780422218513
"Medu.Q",0.169763855289212,0.559140583861471,0.30361569199075,0.761529389160916
"Medu.C",0.15266218039204,0.36870823791521,0.414046025267131,0.678993204810287
"Medu^4",-0.112979782797106,0.224235720004046,-0.503843824681756,0.614562117175992
"Fedu.L",-0.0543648118944118,0.644170683547622,-0.0843950420019274,0.932771420299575
"Fedu.Q",0.442452653907469,0.52294763719296,0.846074487079498,0.397859515212829
"Fedu.C",-0.209560795708288,0.34872835482235,-0.600928467130361,0.54812198910669
"Fedu^4",0.303557138428599,0.21001967691719,1.44537475194903,0.148891796123769
"Mjobhealth",0.437902555933933,0.475996856335032,0.919969428591592,0.357970532384639
"Mjobother",0.0873430140306074,0.263932025186576,0.330929958078652,0.740816706124253
"Mjobservices",0.404593105547798,0.324383058538626,1.24726953180146,0.212801211533449
"Mjobteacher",0.0915469623300545,0.456794671180114,0.200411624972651,0.841228799653455
"Fjobhealth",-0.318589405341307,0.658256320774957,-0.483989891606715,0.628575416612801
"Fjobother",0.279482378879115,0.40067963430875,0.697520799531717,0.485755953562669
"Fjobservices",-0.0730570289185155,0.42119947558829,-0.173449952226262,0.86235817579097
"Fjobteacher",0.988892228641567,0.602674286434288,1.64084025302014,0.101371785951461
"reasonhome",0.0276983710225927,0.245907694698543,0.11263726845371,0.910357042681077
"reasonother",-0.252742274089618,0.315813801994609,-0.800288880642184,0.423870547235878
"reasonreputation",0.216868525980376,0.257934237726326,0.840789993186085,0.400811481986414
"guardianmother",-0.369502296866453,0.231085761154552,-1.59898340347905,0.110367928521093
"guardianother",-0.0533834971808792,0.462319451641069,-0.115468853822583,0.908113402543071
"traveltime.L",-0.57371337351825,0.435713242540486,-1.31672237036711,0.188450840285921
"traveltime.Q",-0.667837207268308,0.359604538506296,-1.85714343329016,0.0637965851572269
"traveltime.C",-0.37122901709999,0.274285046311619,-1.35344242091212,0.176440648567487
"studytime.L",0.815039314781561,0.310663989587603,2.62353971525152,0.0089307202216456
"studytime.Q",-0.0595873930750824,0.266881945614904,-0.223272477041455,0.823401924144962
"studytime.C",-0.147200759547039,0.214402037580421,-0.686564181983697,0.49263131781806
"failures",-1.23755574222255,0.178325226909372,-6.93988037290708,1.05149366798353e-11
"schoolsupyes",-1.0987025964298,0.31774229049154,-3.45784187156874,0.000584363783344065
"famsupyes",-0.161292748141138,0.199006461575059,-0.81049000552328,0.417990459029449
"paidyes",-0.320365115814202,0.399913470898325,-0.801086082683253,0.423409287372284
"activitiesyes",0.228120679980037,0.19433158073582,1.17387343383035,0.240926683771118
"nurseryyes",-0.108955156187095,0.237460648199201,-0.458834577490477,0.646524558474173
"higheryes",1.52163002595883,0.335114105839403,4.54063257691706,6.82173884844116e-06
"internetyes",0.113464792204357,0.240349419893825,0.472082654721945,0.637045045210856
"romanticyes",-0.296287944819094,0.200819255663967,-1.47539609107443,0.140647785474679
"famrel.L",0.685780105287656,0.38178042450024,1.79626838171538,0.0729712234126975
"famrel.Q",-0.375860966435227,0.347487478272917,-1.08165326792013,0.279855365047835
"famrel.C",-0.122054032765547,0.33840948288172,-0.360669658917941,0.718477499787062
"famrel^4",-0.223502485166754,0.287071801840672,-0.77855952320528,0.436556190418285
"freetime.L",-0.123653530439204,0.325140842013798,-0.380307591237511,0.703856094300619
"freetime.Q",-0.0400339641746454,0.278292692445973,-0.143855606925135,0.885664372807861
"freetime.C",0.322581647637607,0.23911092493286,1.34908786676387,0.17783426927439
"freetime^4",-0.343407559831813,0.185701628601538,-1.84924366263187,0.0649303724376237
"goout.L",0.182938958365474,0.307089291742838,0.595719106085503,0.551594876316361
"goout.Q",-0.798553168181271,0.264730585647451,-3.0164749049614,0.00266917478324196
"goout.C",0.591482798947048,0.221925237200685,2.66523450152798,0.00790737115158466
"goout^4",-0.222124852908976,0.185266538402631,-1.19894749923077,0.231037124684623
"Dalc.L",-0.85316905998656,0.529706804334676,-1.61064395058727,0.107800463416172
"Dalc.Q",0.276815405397142,0.432648752890267,0.639815562966272,0.52254472017879
"Dalc.C",0.735890721674968,0.428985586399979,1.71542062252142,0.0868012963188356
"Dalc^4",0.884316285004906,0.402064780769166,2.19943732279454,0.0282400086571142
"Walc.L",0.153440319731207,0.394525603392546,0.388923604480332,0.697475152266939
"Walc.Q",0.346275078849074,0.299079937208734,1.15780109518815,0.247420945918699
"Walc.C",0.253334832861894,0.249131362151783,1.01687250723395,0.309637338524591
"Walc^4",0.151674075847251,0.221644707119196,0.684311742962956,0.494051194536571
"health.L",-0.481134122775587,0.222639116216968,-2.16104937421108,0.0310994186255637
"health.Q",0.107485126052256,0.216943235090395,0.495452766745503,0.620467891459467
"health.C",-0.31114650449062,0.244751659153667,-1.27127434219053,0.204139770774736
"health^4",-0.356227853978224,0.227385841054425,-1.56662284831077,0.117747332728464
"absences",-0.0428803197265705,0.0214556055795826,-1.99856021623439,0.0461214397528478
